length (normalized)	length	max-depth	avg-depth	sent
0.9714	34	9.0000	4.5000	edwards lived at wistowe house in hayes , middlesex , which also housed the small factory where for a time he manufactured a special type of printing paper marketed as `` wisto '' .
0.8286	29	4.0000	2.4483	back at the house , tom learns that the witch , called morewenna , is the fiend 's daughter , and bill has been hunting her for years .
0.7429	26	8.0000	3.8846	the 9th earl had purchased the dullogh from the kavanaghs who had been in occupation of the land since before the norman invasion of ireland .
0.8000	28	6.0000	3.1071	marriage plot is a term used , often in academic circles , to categorize a storyline that recurs in novels most prominently and more recently in films .
0.6286	22	5.0000	2.5455	kelsen notes that , in this respect , the pure theory of law has an affinity with american 'legal realism ' .
0.3714	13	3.0000	1.5385	they hire him as their gofer so they can secretly exchange messages .
0.5714	20	6.0000	3.0000	midnight 's children is a 2012 british-canadian film adaptation of salman rushdie 's 1981 novel of the same name .
0.3143	11	3.0000	1.7273	susan aceron voiced both of them in the english version .
0.6857	24	6.0000	2.8750	this is the ratio of scattering efficiency to total light extinction ( which includes also absorption ) , for small-particle scattering of light .
0.2857	10	3.0000	1.6000	american arts department in manhattan might yield a clue .
0.7714	27	7.0000	2.8519	guillem de masdovelles is documented as a participant in the war between ferdinand i and james ii of urgell in 1413 on the side of ferdinand .
0.8571	30	5.0000	2.3333	an infield fly in a major league game , thus , might not be so in a junior high school game due to the ability of the players involved .
0.6857	24	6.0000	3.5833	closed for remodeling that had been posted all over town were leading patrons to believe the theatre was temporarily shut down for renovation .
0.4571	16	3.0000	1.4375	i am not an admin , so ca n't see the protection tab at all .
0.6571	23	9.0000	4.1739	you seem to be indicating a profound lack of understanding for and respect for wikipedia 's core value of consensus , here .
0.6286	22	9.0000	4.6364	forms part of a commune ( gouping of villages ) which support each other to provide improved services for the inhabitants .
0.3429	12	5.0000	2.5000	representative from illinois and a republican party political boss in chicago .
0.2286	8	4.0000	2.1250	beacuse you are in a content dispute .
0.8000	28	6.0000	2.7143	andrew then returns to sam 's house , and the two spend the rest of the day together , joining his friends later at jesse 's mansion .
0.9714	34	8.0000	3.1176	in the early 1990s he was elected a vice-president of the slfp and was part of a re-organisation drive led by anura bandaranaike , dm jayaratne , berty premalal dissanayake and mahinda rajapakse .
0.6857	24	6.0000	2.8750	first layer is black , then comes white , then comes black , then perhaps grey , then black and then white again .
0.2000	7	3.0000	1.4286	gold production started in february 2008 .
0.8857	31	4.0000	1.8387	he is carried by deputies aleksander linowski of kraków ( 2 ) ( on his right ) and ignacy zakrzewski of poznań ( 3 ) ( on his left ) .
0.5429	19	9.0000	3.7895	its current chief is bothsa sathyanarayana , a minister for transport in the state government of andhra pradesh .
0.7429	26	6.0000	3.3846	juvenile males will have a rufous band that is somewhat mottled while the band on females will be much thinner than that on adult females .
0.5429	19	6.0000	2.5263	once every ten years the villagers cannibalise any travellers passing by , through , or to their village .
0.6000	21	7.0000	3.0476	then there are the state networks , some of which skip the numbers of any nationals in there ( e .
0.4000	14	3.0000	1.6429	he stayed at doda for 14 long years and then left for kishtwar .
0.6286	22	7.0000	3.0909	mcculloch as a tourist attraction for his new settlement at lake havasu and it is the third-biggest tourist attraction in america .
0.5714	20	4.0000	1.8500	while this is happening , she and roberta become friends because roberta is also going through a bad situation .
0.4571	16	6.0000	2.4375	the england cricket team has often included members of the british diaspora in their ranks .
0.8286	29	6.0000	3.1034	for the clinton administration , hyman vetted candidates for vice president , attorney general , secretary of the treasury , director of the cia , and the u .
0.4286	15	5.0000	2.0667	the product should satisfy orthogonality , so it is orthogonal to all its members .
0.3143	11	4.0000	1.8182	during the 1990s she appeared on murder , she wrote .
0.2571	9	4.0000	2.0000	the effectiveness of the dore programme is disputed .
0.8571	30	5.0000	2.3000	sullivan and parque via on the south , ribera de san cosme to the north , avenida insurgentes on the east and circuito interior melchor ocampo on the west .
0.8000	28	10.0000	4.8214	above all , no consensus was reached which is visible from the fact that infinity0 is only one who is trying to enforce new `` consensus '' .
0.2571	9	2.0000	1.3333	indiana once again captured a big ten title .
0.8286	29	6.0000	3.0690	so i would like to suggest those doing so who recognize an ip as a regular non-problem do some spot cross checking and at least welcome such people !
0.4857	17	5.0000	2.4118	gadila is a genus of small tusk shells , marine scaphopod molluscs in the family gadilidae .
0.4571	16	6.0000	2.7500	eddiff is a user script -- a piece of javascript code executed on wikipedia pages .
0.6857	24	6.0000	2.7083	moritz has hosted the cartier polo world cup on snow ; an annual high-goal tournament featuring many of the world 's finest teams .
0.3714	13	4.0000	1.8462	over four hundred students are currently enrolled from pre-school to fifth grade .
0.2571	9	2.0000	1.3333	in the tertiary sector ; 6 or 18 .
